,Algorithm,CandidatesNum,GroupsNumber,GroupMembers,Result
213,1,150,2,5,0.00698089599609375
214,1,150,2,6,0.007977962493896484
215,1,150,3,2,0.0019943714141845703
216,1,150,3,3,0.003988981246948242
217,1,150,3,4,0.005983829498291016
218,1,150,3,5,0.007978200912475586
219,1,150,3,6,0.010970592498779297
220,1,150,4,2,0.002991914749145508
221,1,150,4,3,0.00498652458190918
222,1,150,4,4,0.007978200912475586
223,1,150,4,5,0.011967658996582031
224,1,150,4,6,0.01495981216430664
225,1,150,5,2,0.0029914379119873047
226,1,150,5,3,0.008975505828857422
227,1,150,5,4,0.010970354080200195
228,1,150,5,5,0.013962030410766602
229,1,150,5,6,0.01578974723815918
230,1,150,6,2,0.003989219665527344
231,1,150,6,3,0.00698089599609375
232,1,150,6,4,0.01196742057800293
233,1,150,6,5,0.018949031829833984
234,1,150,6,6,0.02293848991394043
235,1,150,7,2,0.00498652458190918
236,1,150,7,3,0.011968135833740234
237,1,150,7,4,0.013962268829345703
238,1,150,7,5,0.020943641662597656
239,1,150,7,6,0.023935794830322266
240,1,170,2,2,0.0029916763305664062
241,1,170,2,3,0.00498652458190918
242,1,170,2,4,0.006981372833251953
243,1,170,2,5,0.007977724075317383
244,1,170,2,6,0.008975505828857422
245,1,170,3,2,0.0029916763305664062
246,1,170,3,3,0.003988981246948242
247,1,170,3,4,0.0069811344146728516
248,1,170,3,5,0.011967658996582031
249,1,170,3,6,0.013962507247924805
250,1,170,4,2,0.0029914379119873047
251,1,170,4,3,0.005983591079711914
252,1,170,4,4,0.007978200912475586
253,1,170,4,5,0.013962268829345703
254,1,170,4,6,0.015956640243530273
255,1,170,5,2,0.003988981246948242
256,1,170,5,3,0.00698089599609375
257,1,170,5,4,0.01296544075012207
258,1,170,5,5,0.015956878662109375
259,1,170,5,6,0.018949508666992188
260,1,170,6,2,0.003988742828369141
261,1,170,6,3,0.010970354080200195
262,1,170,6,4,0.014959573745727539
263,1,170,6,5,0.022948265075683594
264,1,170,6,6,0.025929689407348633
265,1,170,7,2,0.0049860477447509766
266,1,170,7,3,0.012964963912963867
267,1,170,7,4,0.016954421997070312
268,1,170,7,5,0.020943641662597656
269,1,170,7,6,0.027925491333007812
270,1,190,2,2,0.0029916763305664062
271,1,190,2,3,0.003988742828369141
272,1,190,2,4,0.0059833526611328125
273,1,190,2,5,0.007978439331054688
274,1,190,2,6,0.00997304916381836
275,1,190,3,2,0.002991914749145508
276,1,190,3,3,0.005983829498291016
277,1,190,3,4,0.0069811344146728516
278,1,190,3,5,0.00997304916381836
279,1,190,3,6,0.014959573745727539
280,1,190,4,2,0.003989219665527344
281,1,190,4,3,0.00698089599609375
282,1,190,4,4,0.009973287582397461
283,1,190,4,5,0.014960050582885742
284,1,190,4,6,0.01795172691345215
285,1,190,5,2,0.003988742828369141
286,1,190,5,3,0.010970115661621094
287,1,190,5,4,0.013962268829345703
288,1,190,5,5,0.01695418357849121
289,1,190,5,6,0.020943164825439453
290,1,190,6,2,0.005984067916870117
291,1,190,6,3,0.012964963912963867
292,1,190,6,4,0.01695418357849121
293,1,190,6,5,0.01994633674621582
294,1,190,6,6,0.024932861328125
295,1,190,7,2,0.005983591079711914
296,1,190,7,3,0.013962507247924805
297,1,190,7,4,0.018949031829833984
298,1,190,7,5,0.02293848991394043
299,1,190,7,6,0.02991938591003418
300,1,210,2,2,0.0029916763305664062
301,1,210,2,3,0.00498652458190918
302,1,210,2,4,0.00698089599609375
303,1,210,2,5,0.007978200912475586
304,1,210,2,6,0.010970354080200195
305,1,210,3,2,0.003988981246948242
306,1,210,3,3,0.005983829498291016
307,1,210,3,4,0.008975744247436523
308,1,210,3,5,0.010970354080200195
309,1,210,3,6,0.013962507247924805
310,1,210,4,2,0.003988981246948242
311,1,210,4,3,0.00698089599609375
312,1,210,4,4,0.013962507247924805
313,1,210,4,5,0.016954421997070312
314,1,210,4,6,0.018948793411254883
315,1,210,5,2,0.00498652458190918
316,1,210,5,3,0.007978200912475586
317,1,210,5,4,0.015956878662109375
318,1,210,5,5,0.018949031829833984
319,1,210,5,6,0.02293848991394043
320,1,210,6,2,0.0069811344146728516
321,1,210,6,3,0.014959573745727539
322,1,210,6,4,0.01894831657409668
323,1,210,6,5,0.02194070816040039
324,1,210,6,6,0.025930166244506836
325,1,210,7,2,0.0069811344146728516
326,1,210,7,3,0.010970115661621094
327,1,210,7,4,0.01994609832763672
328,1,210,7,5,0.02991938591003418
329,1,210,7,6,0.033908843994140625
330,1,230,2,2,0.0029916763305664062
331,1,230,2,3,0.004986286163330078
332,1,230,2,4,0.007978200912475586
333,1,230,2,5,0.009973287582397461
334,1,230,2,6,0.01196742057800293
335,1,230,3,2,0.002991914749145508
336,1,230,3,3,0.0069811344146728516
337,1,230,3,4,0.008975505828857422
338,1,230,3,5,0.01196742057800293
339,1,230,3,6,0.014959335327148438
340,1,230,4,2,0.003988981246948242
341,1,230,4,3,0.007978439331054688
342,1,230,4,4,0.010970354080200195
343,1,230,4,5,0.01795172691345215
344,1,230,4,6,0.020943641662597656
345,1,230,5,2,0.005983829498291016
346,1,230,5,3,0.009973287582397461
347,1,230,5,4,0.016954421997070312
348,1,230,5,5,0.021941184997558594
349,1,230,5,6,0.0249330997467041
350,1,230,6,2,0.011967897415161133
351,1,230,6,3,0.014959096908569336
352,1,230,6,4,0.019945144653320312
353,1,230,6,5,0.023935317993164062
354,1,230,6,6,0.02792501449584961
355,1,230,7,2,0.0069811344146728516
356,1,230,7,3,0.016954421997070312
357,1,230,7,4,0.021940946578979492
358,1,230,7,5,0.026927709579467773
359,1,230,7,6,0.036901235580444336
360,1,250,2,2,0.003988742828369141
361,1,250,2,3,0.0049860477447509766
362,1,250,2,4,0.007978439331054688
363,1,250,2,5,0.010970354080200195
364,1,250,2,6,0.01296544075012207
365,1,250,3,2,0.003988981246948242
366,1,250,3,3,0.00698089599609375
367,1,250,3,4,0.00997304916381836
368,1,250,3,5,0.015956878662109375
369,1,250,3,6,0.018948793411254883
370,1,250,4,2,0.0049860477447509766
371,1,250,4,3,0.007978200912475586
372,1,250,4,4,0.012965202331542969
373,1,250,4,5,0.019946575164794922
374,1,250,4,6,0.022938251495361328
375,1,250,5,2,0.005983829498291016
376,1,250,5,3,0.00997304916381836
377,1,250,5,4,0.01795172691345215
378,1,250,5,5,0.023935794830322266
379,1,250,5,6,0.026927947998046875
380,1,250,6,2,0.00698089599609375
381,1,250,6,3,0.016954660415649414
382,1,250,6,4,0.020943880081176758
383,1,250,6,5,0.02792525291442871
384,1,250,6,6,0.036899566650390625
385,1,250,7,2,0.00698089599609375
386,1,250,7,3,0.017951488494873047
387,1,250,7,4,0.0249330997467041
388,1,250,7,5,0.0359036922454834
389,1,250,7,6,0.04039764404296875
390,1,270,2,2,0.003989219665527344
391,1,270,2,3,0.00698089599609375
392,1,270,2,4,0.009973526000976562
393,1,270,2,5,0.011967897415161133
394,1,270,2,6,0.013962268829345703
395,1,270,3,2,0.004986763000488281
396,1,270,3,3,0.00698089599609375
397,1,270,3,4,0.010970592498779297
398,1,270,3,5,0.013962268829345703
399,1,270,3,6,0.020943641662597656
400,1,270,4,2,0.004986286163330078
401,1,270,4,3,0.008975744247436523
402,1,270,4,4,0.013962268829345703
403,1,270,4,5,0.01795196533203125
404,1,270,4,6,0.0249330997467041
405,1,270,5,2,0.005983829498291016
406,1,270,5,3,0.010970354080200195
407,1,270,5,4,0.01994633674621582
